pdf_name,file_hash,file_size_bytes,pdf_version,num_pages,num_objects,num_stream_objects,num_embedded_files,num_annotation_objects,num_form_fields,creation_date_ts,mod_date_ts,creation_mod_date_diff,avg_entropy_per_stream,max_entropy_per_stream,min_entropy_per_stream,std_entropy_per_stream,num_streams_entropy_gt_threshold,num_encrypted_streams,num_corrupted_objects,num_objects_with_random_markers,has_broken_name_trees,num_suspicious_filters,has_javascript,has_launch_actions,avg_file_size_per_page,compression_ratio,num_eof_markers,extraction_success,extraction_time_ms,error_count,label
fintech_32_embedded.pdf,6c457d4a805d52d3ebd72e70f01045aa2cc465ade792d7b240e669d2b8e573db,10571,1.3,1,6,5,1,0,1,0,0,0,6.458144233777503,7.833248175653229,0.0,2.2614991842285512,7,0,0,0,False,2,False,False,10571.0,10571.0,1,True,18,0,1
tech_13_embedded.pdf,3b2515d9135b0da06893ef16a9720082b239a5fedd98d6900c3c78c91d8ddd18,10548,1.3,1,6,5,1,0,1,0,0,0,6.681988721595294,7.832430006562675,2.5,1.64401445488015,7,0,0,0,False,2,False,False,10548.0,10548.0,1,True,18,0,1
agritech_14_embedded.pdf,70b81d32bb3569382a12d69bbfc054543add85edbd7065b7eaa3d7ab268d6267,10557,1.3,1,6,5,1,0,1,0,0,0,6.654451810217818,7.834751655702163,2.2359263506290326,1.7091222636382666,7,0,0,0,False,2,False,False,10557.0,10557.0,1,True,20,0,1
tech_article_1_embedded.pdf,87d8d161af66dbfb4f3a9efa4698dd3f33c896add84c2df78eac6b2bd280cc5f,325532,1.3,1,6,5,1,0,1,0,0,0,6.620894912648532,7.9898623564200015,1.0,1.9237774226333069,5,0,0,0,False,6,False,False,325532.0,325532.0,1,True,74,0,1
stego2.pdf,6fc80aee431c721ac099305acf6d2d0a88faad2c350b7e0de9c1e287b447d574,233407,1.5,2,12,10,0,0,0,855652,933179,77527,5.874778481150531,7.780777444935276,2.2359263506290326,1.2578185149651844,1,0,0,0,False,15,False,False,116703.5,116703.5,1,True,140,0,1
cloud_4_embedded.pdf,bb45540b9431868715c5634b32beda40434b5b4a4d4d7a17219152a2271538ee,10556,1.3,1,6,5,1,0,1,0,0,0,6.660780206558543,7.834751655702163,2.2516291673878226,1.7021019021632764,7,0,0,0,False,2,False,False,10556.0,10556.0,1,True,8,0,1
edtech_15_embedded.pdf,bb11ba5319338fd6ff9b21ff6818c61d72c06dae39d7ca85cc7a54e9143ed603,10538,1.3,1,6,5,1,0,1,0,0,0,6.680677740889151,7.832258530217008,2.5,1.645483816532677,7,0,0,0,False,2,False,False,10538.0,10538.0,1,True,10,0,1
custom_1_embedded.pdf,6a97573e21c4e9066977602c2cc340715d1850bd6cb7ec8a16a3d895fd942d5d,154698,1.3,5,30,25,1,0,1,0,0,0,7.466293850895704,7.9840147653142575,2.5,1.5708701647028354,10,0,0,0,False,10,False,False,30939.6,30939.6,1,True,36,0,1
Stego_Embedded_Lecture.pdf,1ac6fd0b5fa483e35cafeb73dd4e76ae568c129921ae1479225ddd661189f43f,833220,1.3,44,264,220,0,0,1,0,0,0,6.659624554349806,7.991557095473346,3.9966393390134027,1.7673178629781712,6,0,0,0,False,71,False,True,18936.81818181818,18936.81818181818,1,True,273,0,1
cloud_28_embedded.pdf,bb45540b9431868715c5634b32beda40434b5b4a4d4d7a17219152a2271538ee,10556,1.3,1,6,5,1,0,1,0,0,0,6.660780206558543,7.834751655702163,2.2516291673878226,1.7021019021632764,7,0,0,0,False,2,False,False,10556.0,10556.0,1,True,7,0,1
